source_file,case_name,court,year,courtlistener_cluster_id,courtlistener_url,database_sources,source_text_status,sha256_lf
"10623304_2025_Valentine v. Granville Realty, Inc._caed","Valentine v. Granville Realty, Inc.",E.D. Cal.,2025,10623304,https://www.courtlistener.com/api/rest/v4/clusters/10623304/,RA; 3604; claims; csv,,
"10623897_2025_Sutton v. Penny Mac Loan Services, LLC_tnmd",,,,10623897,https://www.courtlistener.com/api/rest/v4/clusters/10623897/,RA; claims; csv,,
10624350_2025_Charugundla v. Lasala_nysd,"Charugundla v. First, M.D.",S.D.N.Y.,2025,10624350,https://www.courtlistener.com/api/rest/v4/clusters/10624350/,RA; claims; csv,,
10625307_2025_Harvey v. Maxwell _ Morgan P.C._azd,"TL Harvey v. Maxwell & Morgan P.C., et al.",D. Ariz.,2025,10625307,https://www.courtlistener.com/api/rest/v4/clusters/10625307/,RA; claims; csv; phase1_patch,,
"10625570_2025_Smith v. Resipro, LLC_ilnd","Smith v. ResiPro, LLC",N.D. Ill.,2025,10625570,https://www.courtlistener.com/api/rest/v4/clusters/10625570/,RA; claims; csv,on file with author,c1755ef3e048e18a8b944ce014503a90e7da63e5d8f68a9c34b449543b48d6eb
10625741_2025_Calderon v. City of New York_nysd,Jason Calderon v. City of New York,S.D.N.Y.,2025,10625741,https://www.courtlistener.com/api/rest/v4/clusters/10625741/,RA; claims; csv,,
10626360_2025_Earle v. Manchester Village Owners Association Inc_wied,"Dawn N. Earle v. Manchester Village Owners Association Inc, et al.",E.D. Wis.,2025,10626360,https://www.courtlistener.com/api/rest/v4/clusters/10626360/,RA; 3604; claims; csv,,
10626608_2025_Lost Lake Holdings LLC v. Town of Forestburgh_nysd,Lost Lake Holdings LLC v. Town of Forestburgh,S.D.N.Y.,2025,10626608,https://www.courtlistener.com/api/rest/v4/clusters/10626608/,RA; claims; csv,,
"10626945_2025_Exline-Johnson v. Rosser Properties, LLC_oknd","Cynthia Exline-Johnson v. Rosser Properties, LLC",N.D. Okla.,2025,10626945,https://www.courtlistener.com/api/rest/v4/clusters/10626945/,RA; 3604; claims; csv,,
10631726_2025_Ballentine v. Cares for the Homeless_nysd,Quentin Ballentine v. Cares for the Homeless,S.D.N.Y.,2025,10631726,https://www.courtlistener.com/api/rest/v4/clusters/10631726/,RA; claims; csv,on file with author,af79eb734cf56ce7b82f81af7479a9c11314c52250107b1abc91ecd24256246b
10631949_2025_MAY v. ERIE COUNTY_pawd,"John May v. Erie County, et al.",W.D. Pa.,2025,10631949,https://www.courtlistener.com/api/rest/v4/clusters/10631949/,RA; 3604; claims; csv,on file with author,0d22f7ccc41f9c390cf737f2de651dbe98cffa130c9b85dd73aaf1a9f456198e
10632080_2025_Bainbridge v. Garland_pamd,,,,10632080,https://www.courtlistener.com/api/rest/v4/clusters/10632080/,RA; claims; csv,,
10632090_2025_Mendoza-Lebron v. Adams_nyed,Mendoza-Lebron v. Adams,E.D.N.Y.,2025,10632090,https://www.courtlistener.com/api/rest/v4/clusters/10632090/,RA; 3604; claims; csv,on file with author,032e316be45c46a314e1e47500ee45db2c6c0b1876774cd9f11764a8115c20b2
10632188_2025_Brockway v. Petschke Trust No. 102_ilnd,Sarah Brockway v. Arlene L. Petschke Trust No. 102,N.D. Ill.,2025,10632188,https://www.courtlistener.com/api/rest/v4/clusters/10632188/,RA; 3604; claims; csv,,
10632268_2025_Drummer v. Southern Nevada Regional Housing Authority_nvd,"Shirley M. Drummer v. Southern Nevada Regional Housing Authority, et al.",D. Nev.,2025,10632268,https://www.courtlistener.com/api/rest/v4/clusters/10632268/,RA; claims; csv,on file with author,d6b24e629f6089cdc64616cb40e60519bde315ffd2cbd95a0732f60aaf3fde4b
10632353_2025_Waheed v. Ballon Stoll Bader and Nadler PC_nysd,"Sehra Waheed v. Ballon Stoll Bader and Nadler PC, et al.",S.D.N.Y.,2025,10632353,https://www.courtlistener.com/api/rest/v4/clusters/10632353/,RA; claims; csv; phase1_patch,on file with author,38a6ede80318953194e04023f22724d1a8c79cf420e734f486d8ff74cf15216e
10632921_2025_Lee v. HUD Housing Attorney_wied,Oliver A. Lee v. HUD Housing Attorney,E.D. Wis.,2025,10632921,https://www.courtlistener.com/api/rest/v4/clusters/10632921/,RA; claims; csv,,
10633153_2025_Saitta v. Greystar_casd,Saitta v. Greystar,S.D. Cal.,2025,10633153,https://www.courtlistener.com/api/rest/v4/clusters/10633153/,RA; claims; csv,,
10633211_2025_Avila v. Davis_nysd,,,,10633211,https://www.courtlistener.com/api/rest/v4/clusters/10633211/,RA; claims; csv,,
10633642_2025_Lopez v. United States_cafc,,,,10633642,https://www.courtlistener.com/api/rest/v4/clusters/10633642/,RA; claims; csv,,
"10634116_2025_Carroway v. Cepco Management Services, LLC_nced","Carroway v. Cepco Management Services, LLC",E.D.N.C.,2025,10634116,https://www.courtlistener.com/api/rest/v4/clusters/10634116/,RA; claims; csv; phase1_patch,on file with author,6bbaa7612e4d6faebdae3a7178b3b037c169b2ee3ef74c8612df52b3dbc08c3c
10634273_2025_Felicie v. Hill_nysd,"Bobby Felicie v. Octavia Hill, Assistant Inspector General of DOI",S.D.N.Y.,2025,10634273,https://www.courtlistener.com/api/rest/v4/clusters/10634273/,RA; claims; csv,on file with author,fb2d37dd89cd5b8868fe7ea90023cfb7dd408e9b8e1d4319adf8b39bcac6f067
"10634417_2025_Group Home on Gibson Island, LLC v. Gibson Island Corporation_ca4","Group Home on Gibson Island, LLC v. Gibson Island Corporation",4th Cir.,2025,10634417,https://www.courtlistener.com/api/rest/v4/clusters/10634417/,RA; 3604; claims; csv,,
10634673_2025_United States v. METHUSELAH TREE LLC_med,"United States of America v. Methuselah Tree, LLC",D. Me.,2025,10634673,https://www.courtlistener.com/api/rest/v4/clusters/10634673/,p3ext_20260703,,
10634689_2025_United States v. METHUSELAH TREE LLC_med,"United States of America v. Methuselah Tree, LLC",D. Me.,2025,10634689,https://www.courtlistener.com/api/rest/v4/clusters/10634689/,p3ext_20260703,,
10634751_2025_Ferraraccio v. New Peoples Bank_wvsd,Anna White Ferraraccio v. New Peoples Bank,S.D.W.V.,2025,10634751,https://www.courtlistener.com/api/rest/v4/clusters/10634751/,RA; claims; csv; phase1_patch,,
10634768_2025_Thompson v. PennyMac Loan Services LLC_mad,"Dawn Thompson v. Evolve Bank & Trust and PennyMac Loan Services, LLC",D. Mass.,2025,10634768,https://www.courtlistener.com/api/rest/v4/clusters/10634768/,RA; claims; csv; phase1_patch,on file with author,c94a5cf63ee702ae13f233d36343dd93d732a07762d8a47f21927adbaea37122
"10634783_2025_McCready v. Unity Sober Living Homes, LLC_paed","John McCready v. Unity Sober Living Homes, LLC, RE/MAX Achievers",E.D. Pa.,2025,10634783,https://www.courtlistener.com/api/rest/v4/clusters/10634783/,RA; 3604; claims; csv,,
"10636459_2025_Derby v. Pleasant Beach Mobile Home Resort, LLC_mied","Joshua Derby, Alyssia Warren, and Z.D., a minor v. Pleasant Beach Mobile Home Resort, LLC",E.D. Mich.,2025,10636459,https://www.courtlistener.com/api/rest/v4/clusters/10636459/,RA; 3604; claims; csv,on file with author,a3a1e06939c3380fca2a375043da3e40250016ce3f649dc0fca09adc5f18e847
10636489_2025_Connolly v. Lanham_mdd,Connolly v. Lanham,D. Md.,2025,10636489,https://www.courtlistener.com/api/rest/v4/clusters/10636489/,RA; 3604; claims; csv,,
"10636620_2025_Millerborg v. Blue Bonnet Trail, LLC_txnd","Casey Millerborg v. Blue Bonnet Trail LLC, et al.",N.D. Tex.,2025,10636620,https://www.courtlistener.com/api/rest/v4/clusters/10636620/,3604; claims; csv,on file with author,da370c86cd9ade69f06ea6f44750e2b744cee1a18185a7c3e1937bf0adc93ef7
10636993_2025_Immigrant Defenders Law Center v. Noem_ca9,,,,10636993,https://www.courtlistener.com/api/rest/v4/clusters/10636993/,RA; claims; csv,,
10637254_2025_Moon v. Jovanelly_scd,"Justin Moon v. Amber Jovanelly; Southern Dreams Realty, LLC",D.S.C.,2025,10637254,https://www.courtlistener.com/api/rest/v4/clusters/10637254/,RA; claims; csv; phase1_patch,on file with author,dadcce8f16b821fe6c643d006077d2944c21f4f4fdd14e3c009cf7b7d07d9ad8
10637328_2025_HAYWOOD v. WARNER ROBINS HOUSING AUTHORITY_gamd,"Stephanie Haywood v. Warner Robins Housing Authority, Africa Porter, Reginald Early, Robert Gidney, Andre Washington, Kesha Bray, Betty Ann Faulks, and John Does 1-10",M.D. Ga.,2025,10637328,https://www.courtlistener.com/api/rest/v4/clusters/10637328/,RA; claims; csv; phase1_patch,,
"10638097_2025_National Fair Housing Alliance v. Bank of America, National Association_mdd","National Fair Housing Alliance, et al. v. Bank of America, N.A., et al.",D. Md.,2025,10638097,https://www.courtlistener.com/api/rest/v4/clusters/10638097/,RA; 3604; claims; csv,,
10639970_2025_McNeil v. Van Houten_nynd,,,,10639970,https://www.courtlistener.com/api/rest/v4/clusters/10639970/,RA; claims; csv,,
10640581_2025_Arrington v. Tm Associates Management Inc._dcd,,,,10640581,https://www.courtlistener.com/api/rest/v4/clusters/10640581/,RA; claims; csv,,
10641808_2025_Kelly v. Max Federal Credit Union (MAG+)_almd,"Gregory Kelly, et al. v. Max Federal Credit Union, et al.",M.D. Ala.,2025,10641808,https://www.courtlistener.com/api/rest/v4/clusters/10641808/,RA; claims; csv,on file with author,a567fee276cd9c57e6e7141f07214902a46ab9d77fc3441fcf703f2ea48aa67a
"10641859_2025_Valentine v. Granville Realty, Inc._caed","Valentine v. Granville Realty, Inc.",E.D. Cal.,2025,10641859,https://www.courtlistener.com/api/rest/v4/clusters/10641859/,RA; claims; csv,,
10641899_2025_(PS) Ortiz v. Mull_caed,"Henry Ortiz v. Doug V. Mull, et al.",E.D. Cal.,2025,10641899,https://www.courtlistener.com/api/rest/v4/clusters/10641899/,RA; 3604; claims; csv,on file with author,c31efdf4fa79f799b2105ecf8c822419141be39e3b818ca212b5bc5c37212d67
10642195_2025_National Fair Housing Alliance v. Department of Housing and Urban Development_dcd,National Fair Housing Alliance v. U.S. Department of Housing and Urban Development,D.D.C.,2025,10642195,https://www.courtlistener.com/api/rest/v4/clusters/10642195/,RA; 3604; claims; csv; phase1_patch,,
10643736_2025_United States v. Freeman_ca1,,,,10643736,https://www.courtlistener.com/api/rest/v4/clusters/10643736/,RA; claims; csv,,
10643891_2025_Coalition for Open Democracy v. Formella_nhd,,,,10643891,https://www.courtlistener.com/api/rest/v4/clusters/10643891/,RA; claims; csv,,
10643981_2025_Fussell v. Sun Vista RV Resort LLC_azd,Fussell v. Sun Vista RV Resort LLC,D. Ariz.,2025,10643981,https://www.courtlistener.com/api/rest/v4/clusters/10643981/,RA; 3604; claims; csv,on file with author,9e7c87281e21a3975b005006c417d6f156a1e49b549c381808019171a8c9714a
"10644016_2025_Parks v. Thrive Property Management Group, Inc._txsd","Donna Parks v. Thrive Property Management Group, Inc.",S.D. Tex.,2025,10644016,https://www.courtlistener.com/api/rest/v4/clusters/10644016/,RA; claims; csv; phase1_patch,,
10644107_2025_Ballentine v. Bowery Residence Committee_nyed,Ballentine v. Bowery Residents' Committee,E.D.N.Y.,2025,10644107,https://www.courtlistener.com/api/rest/v4/clusters/10644107/,RA; 3604; claims; csv,on file with author,82ec5dabc341a518f44695c198182738d0910c154aad3666cc310576875b4537
10644804_2025_Derhem v. Bay House Miami Condominium Association_flsd,"Kanayo Derhem and Mojtaba E. Koosej v. Bay House Miami Condominium Association, et al.",S.D. Fla.,2025,10644804,https://www.courtlistener.com/api/rest/v4/clusters/10644804/,RA; claims; csv,,
10644815_2025_Derhem v. Bay House Miami Condominium Association_flsd,Kanayo Derhem et al. v. Bay House Miami Condominium Association et al.,S.D. Fla.,2025,10644815,https://www.courtlistener.com/api/rest/v4/clusters/10644815/,RA; claims; csv,,
"10644821_2025_Cornerstone Residential Management, LLC v. Smith_gasd",,,,10644821,https://www.courtlistener.com/api/rest/v4/clusters/10644821/,RA; claims; csv,,
10645062_2025_Peters v. Caton Towers Owners Corp._nyed,Jacqueline Peters v. Cafton Towers Owners Corp.,E.D.N.Y.,2025,10645062,https://www.courtlistener.com/api/rest/v4/clusters/10645062/,RA; 3604; claims; csv,,
10645226_2025_(PS) Roberts v. Sacramento Housing _ Redevelopment Agency_caed,Sydney Brooke Roberts and David Tyrone Samuel v. Sacramento Housing & Redevelopment Agency,E.D. Cal.,2025,10645226,https://www.courtlistener.com/api/rest/v4/clusters/10645226/,RA; claims; csv; phase1_patch,,
10645870_2025_Sause v. Schwager_ksd,"Mary Anne Sause v. Mid America Management, et al.",D. Kan.,2025,10645870,https://www.courtlistener.com/api/rest/v4/clusters/10645870/,RA; claims; csv; phase1_patch,on file with author,7a7535b1162caabf13245c8abefbd6fe598c301ab3d5786ddb112491447d714a
10645920_2025_Gonzalez v. Mongo_txsd,"Lillian Gonzalez v. Cheryl Mongo, et al.",S.D. Tex.,2025,10645920,https://www.courtlistener.com/api/rest/v4/clusters/10645920/,RA; claims; csv; phase1_patch,on file with author,f785e66baff347daedff6d3918b371a14fa1a0077ba4b549a1b87974dfd86a31
10645951_2025_Fernandez v. Hines Corporation_mad,"K.F., a Minor, by and through His Legal Guardian Sandra Fernandez v. Hines Corporation, et al.",D. Mass.,2025,10645951,https://www.courtlistener.com/api/rest/v4/clusters/10645951/,RA; claims; csv; phase1_patch,,
10646007_2025_FEINGOLD v. ERIE INSURANCE EXCHANGE_paed,Allen Feingold v. Erie Insurance Exchange,E.D. Pa.,2025,10646007,https://www.courtlistener.com/api/rest/v4/clusters/10646007/,RA; 3604; claims; csv; phase1_patch,on file with author,604585833ca3c0d23441b7df0426f461338a33cec50fc302bfc3907039a51d2e
10646016_2025_HILL v. PHILADELPHIA HOUSING AUTHORITY (PHA)_paed,Jasmine Hill v. Philadelphia Housing Authority,E.D. Pa.,2025,10646016,https://www.courtlistener.com/api/rest/v4/clusters/10646016/,RA; 3604; claims; csv,on file with author,4036d98436e67cc078ad3e0b069ff6191bb7a4892e2a241b464a00c72e34473a
"10646262_2025_Chosen Consulting, LLC v. Town Council of Highland, Indiana_ca7",,,,10646262,https://www.courtlistener.com/api/rest/v4/clusters/10646262/,RA; 3604; claims; csv,,
"10646930_2025_Canoe Creek Neighborhood Association, Inc. v. Douse_flmd",,,,10646930,https://www.courtlistener.com/api/rest/v4/clusters/10646930/,RA; claims; csv,,
10647503_2025_Lee v. Twin Hawks Airpark LLC_azd,"Sharon Lee, et al. v. Twin Hawks Airpark LLC, et al.",D. Ariz.,2025,10647503,https://www.courtlistener.com/api/rest/v4/clusters/10647503/,RA; claims; csv; phase1_patch,,
"10647541_2025_Montgomery, Jr. - Adams-II v. Anderson_laed","Cindy Adams v. Consuelleo Anderson, et al.",E.D. La.,2025,10647541,https://www.courtlistener.com/api/rest/v4/clusters/10647541/,RA; claims; csv,on file with author,bab8b8f92f3c22315ce11462b83f9111e7be516fd2396d6dec2e56a803d5d8bb
10647836_2025_Gadson v. Riverbay Corporation_nysd,Gregory Austin Gadson v. Riverbay Corporation,S.D.N.Y.,2025,10647836,https://www.courtlistener.com/api/rest/v4/clusters/10647836/,RA; claims; csv; phase1_patch,on file with author,0ce9b3e157c3f52d163e1241994817b1c9f7516b925c4a7f3a4582e882b3e5c1
"10648540_2025_Son v. Oakmount Properties-Azure, LLC_nvd","Dominic Son v. Oakmont Properties-Azure, LLC",D. Nev.,2025,10648540,https://www.courtlistener.com/api/rest/v4/clusters/10648540/,RA; 3604; claims; csv,on file with author,7b3429bae813d44e63110d494bb89dcc6969e2e828882e6a3f610c68365eebd6
10648578_2025_(PS) Holmstrand v. Mercy Housing of California_caed,Holmstrand v. Mercy Housing of California,E.D. Cal.,2025,10648578,https://www.courtlistener.com/api/rest/v4/clusters/10648578/,RA; 3604; claims; csv,on file with author,09c5ff0faa1bdabd2312bbe549f1f589bbd75032cfc9edfb8aa35550ddeb4dff
10649251_2025_Tafah v. Lake Village Townhomes_mdd,Bolima Tafah v. Lake Village Townhomes et al.,D. Md.,2025,10649251,https://www.courtlistener.com/api/rest/v4/clusters/10649251/,RA; claims; csv,,
10649312_2025_Chrysanthus v. Stedke_ohnd,Chrysanthus v. Stedke,N.D. Ohio,2025,10649312,https://www.courtlistener.com/api/rest/v4/clusters/10649312/,RA; claims; csv; phase1_patch,on file with author,a3f0c06dc4d3e09a63a427d4ebccc7449f5d40469ff2bfa4bac941aeff1674f4
"10649340_2025_McBride v. Housing Authority of the County of Jackson, Illinois_ilsd","Shelby McBride v. Housing Authority of the County of Jackson, Illinois",S.D. Ill.,2025,10649340,https://www.courtlistener.com/api/rest/v4/clusters/10649340/,RA; claims; csv,,
"10649506_2025_Avila v. ACACIA Network, Inc._nysd","Jimmy Avila v. ACACIA Network, Inc. et al.",S.D.N.Y.,2025,10649506,https://www.courtlistener.com/api/rest/v4/clusters/10649506/,RA; 3604; claims; csv,on file with author,223f0b25357bccdbc8087213bcf3a01c1d2220c042d363ed7296a9c1ef891a77
10649537_2025_Thomas v. Apple_nysd,,,,10649537,https://www.courtlistener.com/api/rest/v4/clusters/10649537/,RA; claims; csv,,
10649860_2025_Kode v. Pargin_ca5,Siddharth Kode v. Joseph Pargin; Kimberly Pargin,5th Cir.,2025,10649860,https://www.courtlistener.com/api/rest/v4/clusters/10649860/,RA; claims; csv,,
10649918_2025_Hedges v. Cincinnati Metropolitan Housing Authority_ohsd,,,,10649918,https://www.courtlistener.com/api/rest/v4/clusters/10649918/,RA; claims; csv,,
10650704_2025_Johnson v. Brenneke_ord,"Larry Johnson v. Thomas Brenneke; Guardian Management, LLC; Guardian Real Estate Services; Uptown Tower Apartments; Lisa Simonson; Kelly Paine; et al.",D. Or.,2025,10650704,https://www.courtlistener.com/api/rest/v4/clusters/10650704/,RA; claims; csv,,
10650712_2025_Johnson v. Guardian Management_ord,"Larry Johnson and Michelle Hume v. Guardian Management, LLC; Lisa Simonson; Kelly Paine; et al.",D. Or.,2025,10650712,https://www.courtlistener.com/api/rest/v4/clusters/10650712/,RA; claims; csv; phase1_patch,,
10650791_2025_Emrit v. Moore_pamd,,,,10650791,https://www.courtlistener.com/api/rest/v4/clusters/10650791/,RA; claims; csv,,
10650971_2025_Roseman v. 1800 Capital Trust II_mied,John L. Roseman v. 1900 Capital Trust II,E.D. Mich.,2025,10650971,https://www.courtlistener.com/api/rest/v4/clusters/10650971/,RA; claims; csv,,
10651009_2025_Bjurling v. Johnson_wawd,"Damia Bjurling v. Alec Johnson, et al.",W.D. Wash.,2025,10651009,https://www.courtlistener.com/api/rest/v4/clusters/10651009/,RA; claims; csv,on file with author,8a4f2eb97c5cbd0fac551cd93ac07be24c471344e71beeff572bb4faa108ddef
10651012_2025_Crawford v. Milner_wawd,Pamela Crawford v. Douglas M. Milner et al.,W.D. Wash.,2025,10651012,https://www.courtlistener.com/api/rest/v4/clusters/10651012/,RA; 3604; claims; csv,on file with author,6bb14a98ee64445e6219c06aff775e2f9c83e3bf0f05ce17326fb729c69ebe8a
10651176_2025_AGiza v. Bexar County_txwd,"Dalila Agiza v. Bexar County, et al.",W.D. Tex.,2025,10651176,https://www.courtlistener.com/api/rest/v4/clusters/10651176/,RA; claims; csv; phase1_patch,on file with author,8dadafb6f8368d523f9178a41e763cf7976699d9dca0826544c7212408c37774
10651313_2025_Crossett v. Midgley_utd,,,,10651313,https://www.courtlistener.com/api/rest/v4/clusters/10651313/,RA; claims; csv,,
10651336_2025_Gonzalez v. Royse Services LLC_flmd,"Manuel James Gonzalez, as legal guardian of REG, a minor v. Royse Services LLC d/b/a LaVida Vacations",M.D. Fla.,2025,10651336,https://www.courtlistener.com/api/rest/v4/clusters/10651336/,RA; 3604; claims; csv,,
10651719_2025_Joe v. Olive Branch Assisted Living LLC_azd,Hailei Joe v. Olive Branch Assisted Living LLC,D. Ariz.,2025,10651719,https://www.courtlistener.com/api/rest/v4/clusters/10651719/,RA; 3604; claims; csv,,
10651834_2025_Metcalf v. Stapp_cod,Metcalf v. Stapp,D. Colo.,2025,10651834,https://www.courtlistener.com/api/rest/v4/clusters/10651834/,RA; claims; csv; phase1_patch,,
10652099_2025_Rosa v. Administration for Children's Services (ACS)_nysd,Felicia Rosa v. Administration for Children's Services,S.D.N.Y.,2025,10652099,https://www.courtlistener.com/api/rest/v4/clusters/10652099/,RA; 3604; claims; csv,on file with author,2eb337875b4c36edaf087486ab70e87ba2965b6e28423e9d9146322ff562c977
"10652700_2025_Cahail v. United States of America, The_ksd",,,,10652700,https://www.courtlistener.com/api/rest/v4/clusters/10652700/,RA; claims; csv,,
10652715_2025_WANAQUE REALTY v. BOROUGH OF WANAQUE_njd,"J&S Group Inc., Wanaque Realty Corp., and Mountain Lakes Estates, Inc. v. Borough of Wanaque",D.N.J.,2025,10652715,https://www.courtlistener.com/api/rest/v4/clusters/10652715/,RA; 3604; claims; csv,,
10653890_2025_Cherry-El v. Blount_dcd,Cherry-El v. Blount,D.D.C.,2025,10653890,https://www.courtlistener.com/api/rest/v4/clusters/10653890/,RA; 3604; claims; csv,on file with author,ce8cc76bfdd2816796eddf2fce1340de2b779dba4994f60d5523cb1438f30a68
10653977_2025_Nairne v. Landry_ca5,,,,10653977,https://www.courtlistener.com/api/rest/v4/clusters/10653977/,RA; claims; csv,,
10654486_2025_Emrit v. Moore_mdd,,,,10654486,https://www.courtlistener.com/api/rest/v4/clusters/10654486/,RA; claims; csv,,
10655179_2025_Chapuis v. Forest Hill Group LLC_tnwd,Chapuis v. Forest Hill Group LLC,W.D. Tenn.,2025,10655179,https://www.courtlistener.com/api/rest/v4/clusters/10655179/,RA; claims; csv,,
10655200_2025_Jacobson v. State of Oregon_ord,"James E. Jacobson, Jr. v. State of Oregon",D. Or.,2025,10655200,https://www.courtlistener.com/api/rest/v4/clusters/10655200/,RA; claims; csv,on file with author,dad9a7e1cf3580360166dc0294d4d019e315cc28c4a586f1f4a4bca370064eb2
10655494_2025_Wallace v. John Stewart Co. _ Redwood Gardens_cand,David Wallace v. John Stewart Company et al.,N.D. Cal.,2025,10655494,https://www.courtlistener.com/api/rest/v4/clusters/10655494/,RA; claims; csv,,
10656092_2025_Watkins v. Lanier Lakes Homeowners Association Inc_alnd,"Watkins v. Lanier Lakes Homeowners Association, Inc.",N.D. Ala.,2025,10656092,https://www.courtlistener.com/api/rest/v4/clusters/10656092/,RA; claims; csv; phase1_patch,on file with author,e47f6ee49b948ecdbd9952dd386032fe921436b03055433c652658cd48e53913
10656273_2025_Berry v. Berry_azd,"Michael D Berry v. Cynthia DeLaTorre Berry, et al.",D. Ariz.,2025,10656273,https://www.courtlistener.com/api/rest/v4/clusters/10656273/,RA; claims; csv; phase1_patch,on file with author,18bfaa61124c4a002b47fa94d56b960b8dc6da3349036028d3499669689947c0
10656302_2025_Hall-Johnson v. City and County of San Francisco_cand,Carneice Kathrine Hall-Johnson v. City and County of San Francisco,N.D. Cal.,2025,10656302,https://www.courtlistener.com/api/rest/v4/clusters/10656302/,RA; 3604; claims; csv,on file with author,76a9da40845a80bc26392eaa56150e8c6277d821bb7fea37128e80095a40c5ba
10656843_2025_Sgci Holdings III LLC v. Federal Communications Commission_dcd,,,,10656843,https://www.courtlistener.com/api/rest/v4/clusters/10656843/,RA; claims; csv,,
10656874_2025_King_Morocco v. Greystar_ca5,The King/Morocco v. Greystar Corporation,5th Cir.,2025,10656874,https://www.courtlistener.com/api/rest/v4/clusters/10656874/,RA; claims; csv; phase1_patch,,
10656968_2025_Colasanti v. City of Portland_ord,,,,10656968,https://www.courtlistener.com/api/rest/v4/clusters/10656968/,RA; claims; csv,,
10657007_2025_Gakuba v. Franklin_mdd,"Peter Gakuba v. Dante Franklin, et al.",D. Md.,2025,10657007,https://www.courtlistener.com/api/rest/v4/clusters/10657007/,RA; claims; csv; phase1_patch,on file with author,e3029e0e173434c42ab7bd0b0891da64cbbfca39a5308fbfa984faf06f82c465
10657049_2025_Jones v. FSSA_Medicaid_innd,,,,10657049,https://www.courtlistener.com/api/rest/v4/clusters/10657049/,RA; claims; csv,,
10657628_2025_Maslowski v. Listing Leaders Select LLC_innd,"Teresa Maslowski v. Brookside Condominium Association II, Inc., et al.",N.D. Ind.,2025,10657628,https://www.courtlistener.com/api/rest/v4/clusters/10657628/,RA; 3604; claims; csv,,
10657730_2025_Gueltzau v. Warehime_ned,Gueltzau v. Warehime,D. Neb.,2025,10657730,https://www.courtlistener.com/api/rest/v4/clusters/10657730/,RA; 3604; claims; csv,,
10657815_2025_Bortnick v. Housing Authority of Lincoln County_ord,Eva Bortnick v. Housing Authority of Lincoln County,D. Or.,2025,10657815,https://www.courtlistener.com/api/rest/v4/clusters/10657815/,RA; claims; csv,on file with author,d67d5d5bd4e5a97d72a3db7b67725f898a5563fb62706a841d15f8edc61dc99b
10657836_2025_Hyatt v. Owens_ksd,,,,10657836,https://www.courtlistener.com/api/rest/v4/clusters/10657836/,RA; claims; csv,,
10657915_2025_Doria v. Yavapai College District Governing Board_azd,"Daniel T. Doria v. Yavapai College District Governing Board, et al.",D. Ariz.,2025,10657915,https://www.courtlistener.com/api/rest/v4/clusters/10657915/,RA; 3604; claims; csv,on file with author,27a235f955368caa473e06aafa3648806fcaf9087cf4556a32439d484ad483ee
10658512_2025_SHEELY v. WARNER ROBINS HOUSING AUTHORITY_gamd,Brianca Michelle Sheely v. Warner Robins Housing Authority,M.D. Ga.,2025,10658512,https://www.courtlistener.com/api/rest/v4/clusters/10658512/,RA; 3604; claims; csv; phase2_extraction,,
10659011_2025_BROWN v. TOWN OF SCARBOROUGH_med,Brown v. Town of Scarborough,D. Me.,2025,10659011,https://www.courtlistener.com/api/rest/v4/clusters/10659011/,p3ext_20260703,,
10659062_2025_Johnson v. Brenneke_ord,Larry Johnson v. Brenneke,D. Or.,2025,10659062,https://www.courtlistener.com/api/rest/v4/clusters/10659062/,RA; claims; csv; phase1_patch,,
10659069_2025_Johnson v. Guardian Management_ord,Larry Johnson; Michelle Hume v. Guardian Management; Kelly Paine; Lisa Simonson,D. Or.,2025,10659069,https://www.courtlistener.com/api/rest/v4/clusters/10659069/,RA; claims; csv,,
10659345_2025_PRINCE v. PAJELA_njd,"Donell Prince v. Priscilla Pajela, et al.",D.N.J.,2025,10659345,https://www.courtlistener.com/api/rest/v4/clusters/10659345/,RA; claims; csv; phase1_patch,,
"10659648_2025_Ndimbie v. Southwest Hammocks, lllp._flsd","Joyce Ndimbie v. Southwest Hammocks, LLLP and Crossroads Management",S.D. Fla.,2025,10659648,https://www.courtlistener.com/api/rest/v4/clusters/10659648/,RA; claims; csv,on file with author,1befa85d466272fbb5911e3b26c8f585a234e93ca7148cf4a5dde4cdd465a7d7
"10660660_2025_The Cottage, Inc Comfy Cottage v. Pasco County_flmd","The Comfy Cottage, Inc., Comfy Cottage v. Pasco County",M.D. Fla.,2025,10660660,https://www.courtlistener.com/api/rest/v4/clusters/10660660/,RA; 3604; claims; csv,,
"10660863_2025_Carlos Alonso Cano v. 245 C_C, LLC_ca11","Carlos A. Alonso Cano v. 245 C&C, LLC",11th Cir.,2025,10660863,https://www.courtlistener.com/api/rest/v4/clusters/10660863/,RA; claims; csv; phase1_patch,,
10661133_2025_Ferrell v. K.B. Custom Ag Services LLC_ksd,,,,10661133,https://www.courtlistener.com/api/rest/v4/clusters/10661133/,RA; claims; csv,,
10661347_2025_Clark v. Council of Unit Owners of the 100 Harborview Drive Condominium_mdd,Clark v. Council of Unit Owners of the 100 Harborview Drive Condominium Association,D. Md.,2025,10661347,https://www.courtlistener.com/api/rest/v4/clusters/10661347/,RA; 3604; claims; csv,,
10662149_2025_Hall v. Eastern Panhandle Anesthesia Associates_wvnd,,,,10662149,https://www.courtlistener.com/api/rest/v4/clusters/10662149/,RA; claims; csv,,
